IND_DESC,LOCAL_TIV,LOCAL_CURRENCY,REPORTDATE,PROJ_NAME,PROJECT_TYPE,PJ_SIC_NAM,SICPRODUCT,OWNER_NAME,P_STATUS_D,P_SIC_DESC,PLANT_NAME,P_ULT_NAME,PLANT_ADDR,PLANT_CITY,PLANT_ST,PL_ST_NAME,PL_COUNTRY,PLANT_ZIP,PL_PHONE,LONGITUDE,LATITUDE,PEC_ZONE,MARKET_REG,WORLD_ID,COUNTY_ID,COUNTY_DES,ACT_DESC,COMPLETION,CO_PRECISN,SCOPE,SCHEDULE,PLANT_ID,PL_PARENT,PARENTNAME,PRJ_QCDATE,CAP_DESC,REPORT_LINK,PROJ_PROB
Food & Beverage,8000000,USD,11-Nov-25,WAUKESHA DAIRY PRODUCTION PLANT PHASE IV EXPANSION,Plant Expansion,Fluid Milk,Acidophilus milk-mfg,Lifeway Foods,Operational,Fluid Milk,Waukesha Dairy,Lifeway Foods,2101 Delafield Street,Waukesha,WI,Wisconsin,U.S.A.,531882261,+1 2623125000,-88.242014,43.030968,WI*02,Great Lakes U.S.A.,1,,Waukesha,Project Scope,31-Jan-28,MONTH,"Lifeway Foods Incorporated has begun Project Scope for Dairy Processing Plant Phase IV Expansion. DETAILS: At Existing (170,000 sqft) Dairy Production Plant, As Part of A Four Phase Project, Perform Structural Upgrades and Install Associated Equipment to Increase Production of Fermented Milk Products. REQUIRES: Buildings & Structural Modifications, Insulated Wall Panels, Docks/Doors, Stainless Steel Fabrication, Processing Line, Tanks/Vessels, Ingredient Handling Equipment, Milk Storage Silos, Pasteurizers, Homogenizers, Vats, CIP (Clean-In-Place) System, Formers, Separators, Packaging Lines, Conveyors, Ammonia Refrigeration System, Cooler/Freezer, Storage Equipment, Motors, Drives, Compressor (Air), Process Piping, Boiler, Utilities, Process Controls (PLC) & Tie-Ins plus Electrical Distribution. ENVIRONMENTAL: (A) Vent Exhaust System, Ducting, Scrubbers; (L) Spill Containment, Floor Drains; (W) Modifications to Wastewater Treatment System.","Lifeway Foods Incorporated continues Project Scope for Dairy Processing Plant Phase IV Expansion thru 4Q25 (Nov) and anticipates receiving Final AFE Approval by 1Q27 (Apr). Subject to Final Approval, Lifeway Foods Incorporated releases RFQs and Bid Documents 2Q27 (Apr-Jun). Construction Kick-Off 3Q27 (Jul). Project Completion 1Q28 (Jan).",1517958,3148200,Lifeway Foods,11-Nov-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301131224,Medium (70-80%)
Food & Beverage,10000000,USD,11-Nov-25,WAUKESHA DAIRY PRODUCTION PLANT PHASE III EXPANSION,Plant Expansion,Fluid Milk,Acidophilus milk-mfg,Lifeway Foods,Operational,Fluid Milk,Waukesha Dairy,Lifeway Foods,2101 Delafield Street,Waukesha,WI,Wisconsin,U.S.A.,531882261,+1 2623125000,-88.242014,43.030968,WI*02,Great Lakes U.S.A.,1,,Waukesha,Project Scope,31-Mar-27,MONTH,"Lifeway Foods Incorporated has begun Project Scope for Dairy Processing Plant Phase III Expansion. DETAILS: At Existing (170,000 sqft) Dairy Production Plant, As Part of A Four Phase Project, Perform Structural Upgrades and Install Associated Equipment to Increase Production of Fermented Milk Products. REQUIRES: Buildings & Structural Modifications, Insulated Wall Panels, Docks/Doors, Stainless Steel Fabrication, Processing Line, Tanks/Vessels, Ingredient Handling Equipment, Milk Storage Silos, Pasteurizers, Homogenizers, Vats, CIP (Clean-In-Place) System, Formers, Separators, Packaging Lines, Conveyors, Ammonia Refrigeration System, Cooler/Freezer, Storage Equipment, Motors, Drives, Compressor (Air), Process Piping, Boiler, Utilities, Process Controls (PLC) & Tie-Ins plus Electrical Distribution. ENVIRONMENTAL: (A) Vent Exhaust System, Ducting, Scrubbers; (L) Spill Containment, Floor Drains; (W) Modifications to Wastewater Treatment System.","Lifeway Foods Incorporated continues Project Scope for Dairy Processing Plant Phase III Expansion thru 4Q25 (Nov) and anticipates receiving Final AFE Approval by 1Q26 (Mar). Subject to Final Approval, Lifeway Foods Incorporated releases RFQs and Bid Documents 2Q26 (Apr-Jun). Construction Kick-Off 3Q26 (Aug). Project Completion 1Q27 (Mar).",1517958,3148200,Lifeway Foods,11-Nov-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301131218,Medium (70-80%)
Food & Beverage,4000000,USD,11-Nov-25,MILWAUKEE BAKERY PLANT PRODUCTION LINE ADDITION,Equipment Addition,"Bread & Bakery Products, Except Cookies & Crackers","Bakery products, fresh: bread, cakes, doughnuts, and pastries-mfg",Grebes Bakeries Incorporated,Operational,"Bread & Bakery Products, Except Cookies & Crackers",Milwaukee Bakery,Grebes Bakeries Incorporated,5132 West Lincoln Avenue,Milwaukee,WI,Wisconsin,U.S.A.,532191646,+1 4145437001,-87.978431,43.003522,WI*02,Great Lakes U.S.A.,1,,Milwaukee,Market Analysis,31-Aug-28,YEAR,"Grebes Bakeries Incorporated has begun Market Analysis for Bakery Plant Production Line Addition. DETAILS: At Existing 44,000 sqft Bakery Manufacturing Plant, Construct (1) new Production Line Addition plus Auxiliary Equipment. REQUIRES: Stainless Steel Fabrication, Ingredient Handling Equipment, Vessels/Tanks, Feeders, Mixers, Roll Sheeting Systems, Laminating Equipment, Oil Spraying Machines, Topping Dispensers, Conveyors Systems, Continuous Dough Processing Equipment, Automated Systems, Metal Detectors, Tunnel Baking Oven, Cooling Racks, Dividers, Cracker/Cookie Breaker Machines, Wrappers, Packaging Line, Case Packers, Rolls, Hoppers, Tables, Material Handling Equipment, Compressors (Air), Process Piping, Drives, Motors, Process Controls (PLC) & Tie-Ins plus Electrical Distribution. ENVIRONMENTAL: (A) Vent Exhaust, Ducting; (L) Containment.","Grebes Bakeries Incorporated continues Market Analysis for Bakery Plant Production Line Addition thru 4Q26 (Nov) and anticipates finalizing Scope by 3Q27 (Sep) receiving Final AFE Approval by 1Q28 (Jan). Subject to Approval, Grebes Bakeries Incorporated releases RFQs and Bid Documents 1Q28 (Jan-Mar). Construction Kick-Off 3Q28 (Jul). Project Completion 3Q28 (Aug).",1517249,1517249,Grebes Bakeries Incorporated,11-Nov-25,"Bread, Pastry, Cakes, Biscuits And Similar Baked Products",https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301131200,Medium (70-80%)
Food & Beverage,17500000,USD,11-Nov-25,LINDEN GRAIN ELEVATOR STORAGE EXPANSION,Storage Addition,Farm Product Warehousing & Storage,"Grain elevators, storage only",Cargill Incorporated,Operational,Farm Product Warehousing & Storage,Linden Grain Elevator,Cargill Incorporated,173 West 1100 North,Linden,IN,Indiana,U.S.A.,47955,+1 7654200999,86.543724,40.115138,IN*02,Great Lakes U.S.A.,1,,Montgomery,Preliminary Design,31-Jul-29,MONTH,"Cargill Incorporated has begun Preliminary Design for Grain Elevator Storage Expansion. DETAILS: At Existing 2.5MM Bushel Grain Elevator, Perform Storage Expansion by Expanding Grain Storage (7.5MM Bushels) by Constructing (2) Additional Storage Bins (750,000 Bu.-1,000,000 Bu.) plus Auxiliary Equipment. REQUIRES: Stainless Steel Fabrication, Equipment Pads (Concrete), Structural & Galvanized Steel, Welded Seam Construction, Storage Bins, Conveyors, Feeders, Shafts, Handrails, Idler Pulleys, Anchor System, Hoppers, Sidewalls & Stiffeners, Bracing, Belts & Rollers, Discharge Unit, Bin Manholes & Lids, Latches & Hinges, Bearings, Gauges, Controls & Utilities Tie-Ins plus Electrical Distribution. ENVIRONMENTAL: (A) Dust Collection, Ventilation; (L) Spill Containment.","Cargill Incorporated continues Preliminary Design for Grain Elevator Storage Expansion thru 4Q25 (Nov) and anticipates receiving Final AFE Approval 1Q26 (Jan). Subject to Approval, Cargill Incorporated releases RFQs and Bid Documents 1Q26 (Jan-Mar). Construction Kick-Off 2Q26 (Jun). Project Completion 2Q29 (Jul).",3666339,1007427,Cargill Incorporated,11-Nov-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301131197,Medium (70-80%)
Food & Beverage,28500000,USD,15-Aug-25,WEST HARRISON GRASSROOT TURKEY PROCESSING PLANT,Grassroot,Poultry Slaughtering & Processing,"Turkeys, processed: fresh, frozen, canned, or cooked-mfg",Whitewater Processing LLC,Under Construction,Poultry Slaughtering & Processing,West Harrison Turkey,Whitewater Processing LLC,Moore Drive,West Harrison,IN,Indiana,U.S.A.,47060,+1 5133674133,-84.841068,39.278736,IN*03,Great Lakes U.S.A.,1,,Dearborn,Construction - Merit Shop,31-Dec-26,QUARTER,"Whitewater Processing LLC with Maxwell Construction (GC) and Ludwig Contracting Inc (Electrical Contractor) has begun Construction for the Grassroot Turkey Processing Plant. DETAILS: At (15-Acre) Site in i-74 Business Park, Construct new (85,000 sqft) Turkey Processing Plant plus Associated Equipment to Produce Turkey Products. REQUIRES: Site Preparation, Foundation, Building, Heavy Load Flooring, Insulated Wall Panels, Stainless Steel Fabrication, Loading Systems, Former Units, Grinders, Fillers, Ovens, Cutters, Slicers, Grinders, Automated Systems, Slaughtering Lines, Defeathering Equipment, Evisceration Lines, Bleeding/Scalding & Washers, Chiller, Ammonia Refrigeration Systems, Process Piping, Compressors (Air), Tanks, Portioning Equipment, Weigher, Tables, Hoppers, Pumps, Material Handling Equipment, Belts, Conveyors, Packing Machines, Labelers, Printers, Motors, Drives, Software & Monitoring Systems, Process Controls (PLC) & Tie-Ins plus Electrical Distribution. ENVIRONMENTAL: (A) Ducting, Dust Collection System; (L) Spill Containment, Floor Drains.","Whitewater Processing LLC with Maxwell Construction and Ludwig Contracting Inc continues Construction for the Grassroot Turkey Processing Plant and releases remaining RFQs and Bid Documents for Contractors, Subcontractors & Equipment as needed 2Q25 (Jun) thru 3Q25 (Sep). Construction Kick-Off 3Q25 (Aug). Project Completion 4Q26 (Dec).",3652673,3542097,Whitewater Processing LLC,15-Aug-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301102906,High (81-99%)
Industrial Manufacturing,1000000,USD,11-Nov-25,LAFAYETTE AUTOMOTIVE ASSEMBLY PLANT SEMI-ANNUAL 4Q26 MAINTENANCE SHUTDOWN,"Maintenance Event (Outages, Turnarounds, Shutdowns)",Motor Vehicle & Passenger Car Bodies,"Assembling complete automobiles, trucks, commercial cars, and buses-mfg",Subaru of Indiana Automotive Incorporated,Operational,Motor Vehicle & Passenger Car Bodies,Lafayette Automotive Assembly,Toyota Motor Corporation,5500 State Road 38 East,Lafayette,IN,Indiana,U.S.A.,479059405,+1 7654496802,-86.799728,40.379787,IN*02,Great Lakes U.S.A.,1,,Tippecanoe,Scheduled Maintenance,31-Dec-26,MONTH,"Subaru of Indiana Automotive Incorporated performs Maintenance Planning and Scheduling for an Automotive Assembly Plant Semi-Annual 4Q26 Maintenance Shutdown. NORMAL INSPECTION/REPAIR TO: 4.7 MM sqft, 410,000 Vehicles/Yr Assembly Plant plus Supporting Equipment and Systems during 1-week Maintenance Shutdown. REQUIRES MRO TO: Assembly Lines and Tools, Presses, CNC Machining Equipment, Paint Shop, Lathes, Grinders, Welding Equipment, Borers, Cranes, Hydraulics, Pneumatics, Material Handling Equipment, Conveyors, Switchgear, Transformers, Compressors (Air), Motors (VS), Drives, Gears, Bearings, Inspection and Test Equipment, MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.","Subaru of Indiana Automotive Incorporated continues Maintenance Plans and Scheduling through 4Q26 (Oct). Upon Finalization of Planning and Completion of Scheduling, Subaru of Indiana Automotive Incorporated releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 4Q26 (Nov). The Semi-Annual 1-week 4Q26 Maintenance Shutdown is scheduled to Kick-Off 4Q26 (Dec). Project Completion 4Q26 (Dec).",1010454,1018223,Subaru of Indiana Automotive Incorporated,11-Nov-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301131076,Medium (70-80%)
Industrial Manufacturing,1000000,USD,11-Nov-25,LAFAYETTE AUTOMOTIVE ASSEMBLY PLANT SEMI-ANNUAL 3Q26 MAINTENANCE SHUTDOWN,"Maintenance Event (Outages, Turnarounds, Shutdowns)",Motor Vehicle & Passenger Car Bodies,"Assembling complete automobiles, trucks, commercial cars, and buses-mfg",Subaru of Indiana Automotive Incorporated,Operational,Motor Vehicle & Passenger Car Bodies,Lafayette Automotive Assembly,Toyota Motor Corporation,5500 State Road 38 East,Lafayette,IN,Indiana,U.S.A.,479059405,+1 7654496802,-86.799728,40.379787,IN*02,Great Lakes U.S.A.,1,,Tippecanoe,Scheduled Maintenance,31-Jul-26,MONTH,"Subaru of Indiana Automotive Incorporated performs Maintenance Planning and Scheduling for an Automotive Assembly Plant Semi-Annual 3Q26 Maintenance Shutdown. NORMAL INSPECTION/REPAIR TO: 4.7 MM sqft, 410,000 Vehicles/Yr Assembly Plant plus Supporting Equipment and Systems during 1-week Maintenance Shutdown. REQUIRES MRO TO: Assembly Lines and Tools, Presses, CNC Machining Equipment, Paint Shop, Lathes, Grinders, Welding Equipment, Borers, Cranes, Hydraulics, Pneumatics, Material Handling Equipment, Conveyors, Switchgear, Transformers, Compressors (Air), Motors (VS), Drives, Gears, Bearings, Inspection and Test Equipment, MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.","Subaru of Indiana Automotive Incorporated continues Maintenance Plans and Scheduling through 2Q26 (May). Upon Finalization of Planning and Completion of Scheduling, Subaru of Indiana Automotive Incorporated releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors 2Q26 (Jun). The Semi-Annual 1-week 3Q26 Maintenance Shutdown is scheduled to Kick-Off 3Q26 (Jul). Project Completion 3Q26 (Jul).",1010454,1018223,Subaru of Indiana Automotive Incorporated,11-Nov-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301131081,Medium (70-80%)
Power,300000000,USD,10-Nov-25,WHITE GRASSROOT 200MW BLACK PRAIRIE PHOTOVOLTRIC (PV) SOLAR,Grassroot,Electricity/Steam [IPP],Nonutility Owned Power Generation,Black Prairie Solar Park LLC,Planned,Electricity/Steam [IPP],Black Prairie PV Solar,Energias de Portugal SA (EDP),6633 South 300 West,Chalmers,IN,Indiana,U.S.A.,47929,+1 3174087244,-86.935462,40.65243,IN*02,Great Lakes U.S.A.,1,,White,Permitting,30-Jun-28,YEAR,"Black Prairie Solar Park LLC a subsidiary of EDPR North America continues Permitting for the 200MW Black Praire Solar Project. DETAILS: Black Prairie Solar Park will construct an 200MW solar farm on 2,791 acres utilizing (514,854) 455W photovoltaic solar panels, (66) Power Electronics HEM FS3350M Inverters and associated facilities. REQUIRES: Civil Site Preparation, Foundations, Ground-mounted on Steel Single-Axis Tracking System, Solar Panels, Power Inverters, Pad-Mount Transformers, Combiner Boxes, MCC, DCS, SADA, Circuit Breakers, Switchgear, Connectors, Mounting Panels,  Terminal Blocks, Protective Relays, Underground Waterproof Enclosures, Fiber Optics Cable., Communication Equipment, Safety System. ENVIRONMENTAL: (L) Roads, Landscaping, and Trenching.","Black Prairie Solar Park LLC a subsidiary of EDPR North America continues Permitting through Permitting/AFE 1Q26 (Jan). Black Prairie Solar Park will release RFP's for EPC 1Q26 (Jan). The selected EPC will Release remaining RFQ'S with Bid Documents for Equipment 1Q27 (Jan), and for Consumables and Specialty Subcontractors as needed 3Q27 (Sep). Construction kick-off expected 1Q27 (Mar). Project completion expected by 2Q28 (Jun).",3666079,3554235,Black Prairie Solar Park LLC,10-Nov-25,Electricity,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301130608,Low (0-69%)
Food & Beverage,1500000,USD,11-Nov-25,GREEN BAY PICKLES PLANT STRUCTURAL STEEL UPGRADE,Upgrade,"Pickled Fruits & Vegetables, Salad Dressings, Vegetable Sauces & Seasonings",Pickles and pickle salting-mfg,Bay Valley Foods LLC,Operational,"Pickled Fruits & Vegetables, Salad Dressings, Vegetable Sauces & Seasonings",Green Bay Pickles,TreeHouse Foods Incorporated,857 School Place,Green Bay,WI,Wisconsin,U.S.A.,543031640,+1 9204055400,-88.031713,44.516607,WI*02,Great Lakes U.S.A.,1,,Brown,Owner Review of Issue,31-Aug-26,YEAR,"Bay Valley Foods LLC (Subsidiary of TreeHouse Foods) has begun Owner Review of Issue of Capital for Pickles Plant Structural Steel Upgrade. DETAILS: At Existing 210,000 sqft Pickles Processing Plant, Perform Structural Steel Upgrade to Plant by Rebuilding and Replacing (Approx. 5,000 sqft) Portion of Facility plus Auxiliary Equipment. REQUIRES: Demolition & Dismantlement, Structural Modifications, Structural Steel, Heavy Load Flooring, Doors, Compressor (Air), Material Handling Equipment, HVAC Units, Inspection & Monitoring Equipment, Lighting, Temperature and Humidity Control System, Inventory Management & Fire Protection System, Utilities, Controls (PLC, Pneumatics) plus Electrical Distribution. ENVIRONMENTAL: (A) Ventilation System, Ducting; (L) Spill Containment, Drains.","Bay Valley Foods LLC continues Owner Review of Issue of Capital for Pickles Plant Structural Steel Upgrade thru 4Q25 (Nov) and anticipates receiving Final AFE Approval by 1Q26 (Jan). Subject to Approval, Bay Valley Foods LLC releases RFQs and Bid Documents 1Q26 (Jan-Mar). Construction Kick-Off 2Q26 (May). Project Completion 3Q26 (Aug).",1504846,1046766,Bay Valley Foods LLC,11-Nov-25,"Vegetables, Fruit, Nuts, Fruit-Peel And Other Parts Of Plants Preserved By Sugar (Drained, Glace Or Crystallized)",https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301131049,Medium (70-80%)
Power,400000000,USD,10-Nov-25,KNOX GRASSROOT 200MW NORTH BEND PV SOLAR PLANT,Grassroot,Electricity/Steam [IPP],Nonutility Owned Power Generation,"North Bend Solar Project, LLC",Planned,Electricity/Steam [IPP],North Bend PV Solar Plant,Hoosier Solar,Toto Road & State Road 23,Knox,IN,Indiana,U.S.A.,46534,+1 3172071215,-86.61163,41.2088,IN*01,Great Lakes U.S.A.,1,,Starke,Preliminary Design,24-Sep-29,YEAR,"North Bend Solar Project, LLC and Hoosier Solar (Parent) conducts Preliminary Design for Grassroot 200MW North Bend PV Solar Plant. DETAILS: On 1,212-acre in Starke County, construct Solar Plant utilizing Photovoltaic panels and balance of plant facilities. REQUIRES: Civil Site Preparation, Concrete Foundations, SCADA monitoring system, Sensors and Monitoring System, Solar Panels, Pedestals, Racking System, Trackers, Junction Boxes, Voltage Regulators, Meters, Substation Interconnection (Transformers, Breakers, Switchgear), Remote Monitoring System, Combiner Boxes, Waterproof Enclosures, Contactors, Terminal Blocks, Recombiner Boxes, Switches. ENVIRONMENTAL: (L) Roads, Landscaping and Trenching.","North Bend Solar Project, LLC with Hoosier Solar (Parent) continues Preliminary Design through Permitting and AFE Approvals by 1Q27 (Jan). Upon approvals, Hoosier Solar will release RFP's for EPC 1Q27 (Mar). Selected EPC conducts Engineering and releases remaining RFQ's with Bid Documents for Equipment 1Q28 (Mar), consumables and Specialty Subcontractors as needed 4Q28 (Oct). Construction is scheduled for Kick-Off 2Q28 (Jun). Project completion is expected 3Q29 (Sep).",3666090,3554241,"North Bend Solar Project, LLC",10-Nov-25,Electricity,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301130624,Low (0-69%)
