IND_DESC,LOCAL_TIV,LOCAL_CURRENCY,REPORTDATE,PROJ_NAME,PROJECT_TYPE,PJ_SIC_NAM,SICPRODUCT,OWNER_NAME,P_STATUS_D,P_SIC_DESC,PLANT_NAME,P_ULT_NAME,PLANT_ADDR,PLANT_CITY,PLANT_ST,PL_ST_NAME,PL_COUNTRY,PL_PHONE,LONGITUDE,LATITUDE,PEC_ZONE,MARKET_REG,WORLD_ID,COUNTY_DES,ACT_DESC,COMPLETION,CO_PRECISN,SCOPE,SCHEDULE,PLANT_ID,PL_PARENT,PARENTNAME,REPORT_LINK,KO_SLIP,PROJ_PROB
Metals & Minerals,1000000,USD,1-May-24,ARCATA METAL FABRICATION MANUFACTURING PLANT 2025 MAINTENANCE PROGRAM,Maintenance Program,Fabricated Structural Metal,"Structural steel, fabricated-mfg",O & M Industries,Operational,Fabricated Structural Metal,Arcata Metal Fabrication,O & M Industries,5901 Ericson Way,Arcata,CA,California,U.S.A.,+1 7078228800,-124.069378,40.906773,CA*01,West Coast U.S.A.,1,Humboldt,Maintenance Programs,31-Dec-25,QUARTER,"O & M Industries performs Maintenance Planning and Scheduling for a Metal Fabrication Manufacturing Plant 2025 Maintenance Program. NORMAL INSPECTION/REPAIR TO: At 90,000 sqft Fabricated Metal Manufacturing Plant plus Supporting Equipment during 8-12 hour Monthly Maintenance shutdowns. REQUIRES MRO TO: Milling Machines, Welding Equipment, Boring Equipment, Drilling Equipment, Saws, Laser Cutting Equipment, Brake Presses,  CNC Machining Equipment, Gages, Electrical Utilities, Beveling Equipment, Turning/Grinding Equipment, Finishing Equipment, Testing/Inspection Equipment, Motors (VS), Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.","O & M Industries Plans 2025 Maintenance Program 1Q25 (Jan). Upon Approvals, O & M Industries releases Equipment and Spare Parts RFQs and Maintenance Subcontractors Bid Documents to support in-house Crew 1Q25 (Jan) - 4Q25 (Nov). 8-12 hour Maintenance Shutdown every Month Kick-Off set for 1Q25 (Jan). Maintenance Program Completion expected for 4Q25 (Dec).",3017008,3015751,O & M Industries,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300973425,0,High (81-99%)
Petroleum Refining (HPI),80000000,USD,18-Oct-24,LOS ANGLES (CARSON) REFINERY CLOSURE AND DECOMMISSIONING,Closure,Petroleum Refining,"Gasoline, except natural gasoline-mfg",Phillips 66,Operational,Petroleum Refining,Los Angeles Refinery - Carson (P66),Phillips 66,1520 East Sepulveda Boulevard,Carson,CA,California,U.S.A.,+1 3105229300,-118.245342,33.806591,CA*08,West Coast U.S.A.,1,Los Angeles [souther,Construction - Merit Shop,31-Jan-28,QUARTER,"Phillips 66 performs Construction for Decommissioning and Closure of the Carson Refinery DETAILS: Upon the cease of total operations in 4Q25 (Dec), perform closure and decommissioning of the  133,000 bpd Carson Refinery, Processing Units & Tank Farm. A Remediation plan will also be necessary for redevelopment of the site. REQUIRES DECOMMISSIONING, DEMOLITION, CLEANING, AND CLOSURE OF: Process Units, Structures, Distillation Columns, Reactors, Heaters, Heat Exchangers, Desalter, Coolers, Strippers, Compressors (Gas & Air), Motors, Pumps, Process and Utility Piping, Valves, Tanks, Wastewater Systems, Generators & Electric Utilities. ENVIRONMENTAL: (L) Debris Removal, Waste Disposal. (W) Waste Disposal.",Phillips 66 continues with Construction through 1Q28 (Jan). Phillips 66 will continue to release Bid Documents and Equipment RFQs 4Q25 (Dec). Refinery Closure and Decommissioning Kicked-Off 4Q25 (Nov). Completion 1Q28 (Jan).,1016816,3057127,Phillips 66,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301018024,-1,High (81-99%)
Petroleum Refining (HPI),100000000,USD,12-Sep-25,LOS ANGELES REFINERY - WILMINGTON CLOSURE AND DECOMMISSIONING,Closure,Petroleum Refining,"Fractionation products of crude petroleum, produced in petroleum refineries-mfg",Phillips 66,Operational,Petroleum Refining,Los Angeles Refinery - Wilmington,Phillips 66,1660 West Anaheim Street,Wilmington,CA,California,U.S.A.,+1 3109526000,-118.286883,33.778166,CA*08,West Coast U.S.A.,1,Los Angeles [souther,Construction - Merit Shop,31-Jan-28,QUARTER,"Phillips 66 performs Construction for Decommissioning & Demolition of the Wilmington Refinery DETAILS: Upon the cease of operations 4Q25 (Dec), perform closure and decommissioning of the 650 Acre 133,000 bpd Wilmington Refinery Processing Units & Tank Farm. The site will be used eventually for new development that includes warehouses, retail spaces, and open areas. REQUIRES DECOMMISSIONING, DEMOLITION, CLEANING, AND CLOSURE OF: Process Units, Structures, Distillation Columns, Reactors, Heaters, Heat Exchangers, Desalter, Coolers, Strippers, Compressors (Gas & Air), Motors, Pumps, Process and Utility Piping, Valves, Tanks, Wastewater Systems, Generators & Electric Utilities. ENVIRONMENTAL: (L) Debris Removal, Waste Disposal. (W) Waste Disposal.",Phillips 66 continues with Construction through 1Q28 (Jan). Phillips 66 will continue to release Bid Documents and Equipment RFQs 4Q25 (Dec). Refinery Closure and Decommissioning Kicked-Off 4Q25 (Nov). Completion 1Q28 (Jan).,1007860,3057127,Phillips 66,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301111812,-2,High (81-99%)
Power,1200000,USD,14-Jan-25,SUTTER NATURAL GAS 624MW SUTTER ENERGY UNIT BLOCK #01 4Q25 MAINTENANCE OUTAGE,"Maintenance Event (Outages, Turnarounds, Shutdowns)",Electricity/Steam [IPP],Nonutility Owned Power Generation,Calpine Corporation,Operational,Electricity/Steam [IPP],Sutter Energy Center,Calpine Corporation,5029 South Township Road,Yuba City,CA,California,U.S.A.,+1 5308212072,-121.696172,39.052905,CA*02,West Coast U.S.A.,1,Sutter,Scheduled Maintenance,16-Nov-25,WEEK,"Calpine Corporation conducts a Maintenance Scope for 624MW Natural-Gas Combined Cycle 10-Day 4Q25 Maintenance Outage: NORMAL INSPECTIONS AND REPAIRS TO: (2) 212MW Siemens Energy SGT6-5000F W501FD(GTIC AMCO Fog) DLN(Cormetech SCR)(Camet CO) OFU Upgrade Heavy Frame Combustion Turbine with (2) Vogt Power International LNB Coen Duct Fired SCR CO 495,000 lbs/hr Heat Recovery Steam Generator (HRSG) and (1) 200MW Siemens Energy KN 35-65CC Condensing Dry Cooling Tower Steam Turbine. REQUIRES MRO TO: Combustion Turbine (Seal, Gears, Valves, Bearings, Air-Inlets Inspection, Turbine Washing), Balance of Plant (Pumps and Motors), HRSG (Safety Inspection), Steam Turbine (Coupling, Valve, Sensors, Bearing, Gears), Instrumentation and Controls Calibrations and Testing. ENVIRONMENTAL: (A) CEMS Recalibrating; (L) Spill Containment; (W) Demineralizer System.","Calpine Corporation completed Maintenance Planning and Scheduling through AFE approval 2Q25 (Apr) and released RFQs and Bid Documents for Equipment, Consumables, and Specialty Subcontractors as required 3Q25 (Jul) through 3Q25 (Sep). Maintenance Outage is scheduled to kick off 4Q25 (Nov). Maintenance Outage is expected to be completed by 4Q25 (Nov).",1032188,1028092,Calpine Corporation,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301041176,0,High (81-99%)
Food & Beverage,4000000,USD,10-Nov-25,PERRIS FEED MILL ROBOTIC STACKER ADDITIONS,Automation,Prepared Feeds for Livestock,"Meal, bone: prepared as feed for animals and fowls-mfg",Star Milling Company,Operational,Prepared Feeds for Livestock,Perris Feed Mill,Star Milling Company,24067 Water Street,Perris,CA,California,U.S.A.,+1 9516573143,-117.243184,33.818942,CA*08,West Coast U.S.A.,1,Riverside [western],Market Analysis,31-Aug-27,YEAR,"Star Milling Company has begun Market Analysis for Feed Mill Robotic Stacker Additions. DETAILS: At Existing 75,000 sqft Feed Mill & Warehouse Facility, Perform Automation Upgrade to Plant by Constructing (2-3) new Robotic Stacker Additions plus Auxiliary Equipment. REQUIRES: Stainless Steel Fabrication, Stacker Machines, Automated Systems, Robotics, Mounting Frames, Arms, Pneumatics, Material Handling Equipment, Wrappers, Controllers, Staging Equipment, Air Lines, Speed Reducers, Motors, Servo Drives, Grippers, Wrists, Mechanical Brakes/Adjustable Hard Stops, Operator Stations, Interface Panels, Cables, Input/Output Devices, Monitoring System, Relays, Controls (PLC & Cabinet) plus Electrical Distribution.","Star Milling Company continues Market Analysis for Feed Mill Robotic Stacker Additions thru 3Q26 (Jul) and anticipates finalizing Scope by 3Q26 (Sep) and receiving Final AFE Approval by 1Q27 (Jan). Subject to Approval, Star Milling Company releases RFQs and Bid Documents 1Q27 (Jan-Mar). Construction Kick-Off 3Q27 (Jul). Project Completion 3Q27 (Aug).",1517885,1517885,Star Milling Company,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301130558,0,Medium (70-80%)
"Pulp, Paper & Wood",3500000,USD,26-Jul-22,UKIAH SAWMILL LARGE LOG LINE UPGRADE,Upgrade,"Sawmills & Planing Mills, General","Lumber: rough, sawed, or planed-mfg",Mendocino Forest Products Company LLC,Operational,"Sawmills & Planing Mills, General",Ukiah Sawmill,Mendocino Redwood Company LLC,850 Kunzler Ranch Road,Ukiah,CA,California,U.S.A.,+1 7074635110,-123.200666,39.181481,CA*01,West Coast U.S.A.,1,Mendocino,Project Justification,16-Jun-27,MONTH,"Mendocino Forest Products Company LLC has begun Project Justification (Capital Approval) for Sawmill Large Log Line Upgrade. DETAILS: At 200MM BDFT/yr Softwood Sawmill, Perform Upgrade to (1) Large Log Line by Replacing Gang Saw and Quad Bandmill plus Auxiliary Equipment. REQUIRES: Carbon Steel Fabrication, Modifications to Log Line, Log Scanning Equipment, Log Decks & Carriages, Conveyors, Headrigs, Quad Bandmill, Belts, Gears, Screens, Infeed/Outfeed Decks, Gang Saws, Optimizers, Debarking Drum, Bark Handling Equipment, Motors, Drives, Hydraulic Unit, Scanning Equipment, Lube Oil Unit, Pneumatics, Process Controls Integration, Tie-Ins plus Electrical Distribution. ENVIRONMENTAL: (A) Dust Collection System, Vent Exhaust System.","Mendocino Forest Products Company LLC continues Project Justification (Capital Approval) for Sawmill Large Log Line Upgrade and anticipates Final AFE Approval 4Q26 (Dec). Subject to Approval, Mendocino Forest Products Company releases RFQs and Bid Documents for Specialty Contractors 1Q27 (Jan-Mar). Expected Construction Kick-Off 2Q27 (May). Project Completion 2Q27 (Jun).",1025763,1502670,Mendocino Forest Products Company LLC,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300808415,48,Low (0-69%)
Industrial Manufacturing,1000000,USD,20-May-24,UNION CITY FLEXIBLE PLASTIC PACKAGING MFG PLANT FY25 MAINTENANCE PROGRAM,Maintenance Program,Unsupported Plastics Film & Sheet,"Plastics film and sheet, unsupported-mfg",Emerald Packaging Incorporated,Operational,Unsupported Plastics Film & Sheet,Union City Flexible Plastic Packaging,Emerald Packaging Incorporated,33200 Lewis Avenue,Union City,CA,California,U.S.A.,+1 5104295700,-122.030845,37.601226,CA*03,West Coast U.S.A.,1,Alameda,Maintenance Programs,31-Dec-25,YEAR,"Emerald Packaging Incorporated (Owner) performs Maintenance Planning and Scheduling for a Flexible Plastic Packaging Manufacturing Plant FY25 Maintenance Program. NORMAL INSPECTION/REPAIR TO: (120,000 sqft) Flexible Plastic Packaging Manufacturing Plant plus Supporting Equipment and Systems during Weekly, 1-Shift Maintenance Shutdowns throughout the Year. REQUIRES MRO TO: Blown Film and Cast Film Lines, Extruders, Clamping Units, Conveyors, Heat Exchangers, CNC Machining Equipment, Winders, Feed System, Trimmers, Roll Handling Equipment, Lathes, Compressor (Air), Motors (VS), Material Handling Equipment, Packaging Equipment, MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.",Emerald Packaging Incorporated continues with Maintenance Planning and Scheduling through 4Q24 (Dec). Emerald Packaging Incorporated Releases Equipment RFQs and Bid Documents plus Reviews and Selects Subcontractors as Needed 1Q25 (Jan) - 4Q25 (Dec). The Flexible Plastic Packaging Manufacturing Plant FY25 Maintenance Program is Scheduled to Kick-Off 1Q25 (Feb). Expected Program Completion 4Q25 (Dec).,3108648,3102643,Emerald Packaging Incorporated,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300977371,0,High (81-99%)
Industrial Manufacturing,1000000,USD,10-Nov-25,CHICO PLASTIC INJECTION MOLDING MANUFACTURING PLANT FY26 MAINTENANCE PROGRAM,Maintenance Program,Plastic Products,"Molding of plastics for the trade, except foam-mfg",Wrex Products Incorporated,Operational,Plastic Products,Chico Injection Molding,Wrex Products Incorporated,25 Wrex Court,Chico,CA,California,U.S.A.,+1 5308953838,-121.818366,39.712506,CA*02,West Coast U.S.A.,1,Butte,Maintenance Programs,31-Dec-26,YEAR,"Wrex Products Incorporated performs Maintenance Planning and Scheduling for a Plastic Injection Molding Manufacturing Plant FY26 Maintenance Program. NORMAL INSPECTION/REPAIR TO: Approximately 37,000 sqft Plastic Injection Molding Manufacturing Plant plus Supporting Equipment and Systems during a series of periodic Maintenance Shutdowns throughout the year. REQUIRES MRO TO: Injection Molding Machines, Heat-Staking Machines, Sonic-Welding Equipment, CNC Machines, Robotics, Conveyors, Material Handling Equipment, Packaging Equipment, Heat Treat Furnaces, Atmospheric Control, Compressors (Air), Dies, Clamping Units, Silos, Hoppers, Inspection and Test Equipment, Motors (VS), MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.","Wrex Products Incorporated continues with Maintenance Planning and Scheduling through 4Q25 (Dec). Upon Finalization of Plans and Completion of Scheduling, Wrex Products Incorporated releases Equipment RFQ's and Bid Documents plus Reviews and Selects Subcontractors as needed 1Q26 (Jan)-4Q26. The Plastic Injection Molding Manufacturing Plant FY26 Maintenance Program is tentatively scheduled to Kick-Off 1Q26 (Feb). Estimated Project Completion 4Q26 (Dec).",3023530,3022456,Wrex Products Incorporated,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301130506,0,Medium (70-80%)
Industrial Manufacturing,1000000,USD,13-May-24,CHICO PLASTIC INJECTION MOLDING MANUFACTURING PLANT FY25 MAINTENANCE PROGRAM,Maintenance Program,Plastic Products,"Molding of plastics for the trade, except foam-mfg",Wrex Products Incorporated,Operational,Plastic Products,Chico Injection Molding,Wrex Products Incorporated,25 Wrex Court,Chico,CA,California,U.S.A.,+1 5308953838,-121.818366,39.712506,CA*02,West Coast U.S.A.,1,Butte,Maintenance Programs,31-Dec-25,YEAR,"Wrex Products Incorporated performs Maintenance Planning and Scheduling for a Plastic Injection Molding Manufacturing Plant FY25 Maintenance Program. NORMAL INSPECTION/REPAIR TO: Approximately 37,000 sqft Plastic Injection Molding Manufacturing Plant plus Supporting Equipment and Systems during a series of periodic Maintenance Shutdowns throughout the year. REQUIRES MRO TO: Injection Molding Machines, Heat-Staking Machines, Sonic-Welding Equipment, CNC Machines, Robotics, Conveyors, Material Handling Equipment, Packaging Equipment, Heat Treat Furnaces, Atmospheric Control, Compressors (Air), Dies, Clamping Units, Silos, Hoppers, Inspection and Test Equipment, Motors (VS), MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation & Exhaust Systems, Ducting, Fans.","Wrex Products Incorporated continues with Maintenance Planning and Scheduling through 4Q24 (Dec). Upon Finalization of Plans and Completion of Scheduling, Wrex Products Incorporated Releases Equipment RFQs and Bid Documents plus Reviews and Selects Subcontractors 1Q25 (Jan)-4Q25. The Plastic Injection Molding Manufacturing Plant FY25 Maintenance Program is tentatively scheduled to Kick-Off 1Q25 (Jan). Expected Project Completion 4Q25 (Dec).",3023530,3022456,Wrex Products Incorporated,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300975615,0,High (81-99%)
Industrial Manufacturing,2352000,USD,7-Nov-25,"IRVINE UNIVERSITY CENTRAL PLANT AIR HANDLING UNITS 1, 2, AND 3 REPLACEMENT",Replacement,Steam & Air-Conditioning Supply,Cooled Air Supply,University of California Irvine,Operational,"Colleges, Universities & Professional Schools",Irvine University Central Plant,University of California Irvine,19172 Jamboree Road,Irvine,CA,California,U.S.A.,+1 9498245011,-117.852481,33.639352,CA*08,West Coast U.S.A.,1,Orange,Project Scope,29-Feb-28,YEAR,"University of California Irvine performs Project Scope for an Air Handling Units 1, 2, and 3 Replacement. DETAILS: This project would replace three overaged, obsolete, and deteriorating air handling units in the Law Building. Demolish Existing Air Handler Units and Other Integrated Components and Replace and Install these units with more modern, energy‐efficient ones and Complete Assembled In-Place Air Handler Units as well as all Piping, Appurtenances and Controls Inside the School of Law for a Fully Functional System.  REQUIRES: Air Handling Units, Chilled & Hot Heating Water Connections, Ductwork Connections, Variable Frequency Drives, DDC System, Smoke Duct Detector, Duct Insulation & Damper. ENVIRONMENTAL: (A) Ventilation and Exhaust System, Ducting.","University of California Irvine continues with Project Scope through 1Q27 (Mar). Upon Completion of Project Scope and Final Capital Approval, University of California releases Equipment RFQ's and Bid Documents plus Reviews and Selects Subcontractors as needed 3Q27 (May). Tentative Central Plant Air Handling Units 1, 2, and 3 Replacement Construction Kick-Off is set for 2Q27 (Jun). Estimated Project Completion 1Q28 (Feb).",1070906,1087025,University of California Irvine,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301130053,0,Medium (70-80%)
