named_account,outcome,looks_like_water,looks_like_municipal
3M COMPANY - CORONA,no water match,False,False
"3M COMPANY NORTHRIDGE, CA",no water match,False,False
A-C ELECTRIC,no water match,False,False
A-C ELECTRIC CO,no water match,False,True
ABQ. BERNALILLO CO WATER AUTHORITY,no water match,True,True
ADMIRAL BEVERAGE CORP,no water match,False,False
AERA ENERGY,no water match,False,False
AEU INTEGRATION,no water match,False,False
AGILENT TECHNOLOGIES,no water match,False,False
AGILENT TECHNOLOGIES-DELAWARE,no water match,False,False
AGRO FARMA,no water match,False,False
ALAMEDA COUNTY FLOOD CONTROL AND WA,no water match,False,True
ALAMEDA COUNTY WATER DISTRICT,matched,True,True
ALBUQUERQUE BERNALILLO COUNTY WATER,no water match,True,True
ALMEX USA INC,no water match,False,False
AMALGAMATED SUGAR,no water match,False,False
AMALGAMATED SUGAR -MINI-CASSIA,no water match,False,False
AMALGAMATED SUGAR CO,no water match,False,True
AMWEST CONTROLS,no water match,False,False
AMY'S KITCHEN,no water match,False,False
APACHE WATER AND POWER,no water match,True,False
APCO INC SLC,no water match,False,False
APCO. INC.,no water match,False,False
APEX MANUFACTURING SOLUTIONS,no water match,False,False
ARDENT MILLS,no water match,False,False
"ARDENT MILLS, LLC",no water match,False,False
ARIZONA DEPT OF WATER RESOURCES,no water match,True,False
ASARCO INC,no water match,False,False
ASARCO LLC,no water match,False,False
ASH GROVE CEMENT,no water match,False,False
ASH GROVE CEMENT CO,no water match,False,True
ASPECT ENGINEERING GROUP,no water match,False,False
ATI SPECIALTY ALLOYS AND COMPONENTS,no water match,False,False
"ATTUNE FOODS, LLC",no water match,False,False
AURORA ORGANIC DAIRY,no water match,False,False
AUTOLIV,no water match,False,False
AUTOLIV ASP,no water match,False,False
"AUTOLIV ASP, INC.",no water match,False,False
AUTOLIV MACHINE BUILD,no water match,False,False
AUTOLIV PANEL SHOP,no water match,False,False
AUTOLIV PROMONTORY,no water match,False,False
AUTOLIV-MODULE,no water match,False,False
AUTOMATED CONTROLS,no water match,False,False
AUTOMATION SERVICES,no water match,False,False
Advanced Electrical Technologies,no water match,False,False
B BRAUN MEDICAL INC,no water match,False,False
"B BRAUN/MCGAW, INC",no water match,False,False
BALL CORPORATION,no water match,False,False
BANKS INTEGRATION,no water match,False,False
BARRICK CORTEZ GOLMINE,no water match,False,False
BARRICK CORTEZ MINE,no water match,False,False
BARRICK GOLD,no water match,False,False
BARRICK GOLD CORP,no water match,False,False
BARRICK GOLD STRIKE,no water match,False,False
BARRICK GOLDEN SUNLIGHT MINE,no water match,False,False
BARRICK GOLDSTRIKE MINES,no water match,False,False
BARRICK TURQUOISE RIDGE,no water match,False,False
BAYER,no water match,False,False
BEAVENS SYSTEMS,no water match,False,False
BEECO,no water match,False,False
BENNU GLASS,no water match,False,False
"BERG  NNSA ABQ COMPLEX (0000572772) - ALBUQUERQUE, NM",no water match,False,False
BF GOODRICH AEROSPACE,no water match,False,False
BIGELOW TEA,no water match,False,False
