owner,state,county,possible_named_account,why_not_auto_blocked,best_name_overlap,score,n_opps,value_total,decision (block/allow)
County of Pima,AZ,Pima,PIMA UTILITIES,one side has no governance signal,0.33,86.0,9,433168833.0,
San Francisco Public Utilities Commission,CA,County of San Francisco,CITY OF SAN FRANCISCO; CITY & COUNTY OF SAN FRANCISCO; SAN FRANCISCO CITY & COUNTY; SAN FRANCISCO WATER DEPT,governance mismatch (special vs muni),0.4,84.0,10,1295230000.0,
Clark Regional Wastewater District,WA,Clark,CLARK COUNTY PUD; CLARK PUBLIC UTILITIES; CLARK COUNTY WATER RECLAMATION,several agencies share this place name; name overlap only 33%,0.33,80.0,42,99765000.0,
Metropolitan Water District of Southern California,CA,Los Angeles,SOUTHERN CALIFORNIA WATER COMPANY,investor-owned utility vs public agency,0.6,75.0,9,239408611.0,
Port Of Seattle,WA,King,PORT OF SEATTLE,one side has no governance signal,1.0,70.0,7,107451000.0,
City of Napa,CA,Napa,NAPA SANITATION DISTRICT,governance mismatch (muni vs special),0.25,56.0,3,37900000.0,
County of Napa,CA,Napa,NAPA SANITATION DISTRICT,governance mismatch (county vs special),0.25,56.0,3,12444500.0,
City of San Jose,CA,Santa Clara,SAN JOSE WATER; SAN JOSE WATER CO,one side has no governance signal,0.5,50.9,3,7449000.0,
City of Seattle,WA,King,SEATTLE CITY LIGHT; SEATTLE CITY LIGHT DEPT; SEATTLE PUBLIC UTILITIES,electric utility vs municipal/water entity,0.67,47.0,3,97848256.0,
Goleta Sanitary District,CA,Santa Barbara,GOLETA WATER DISTRICT,water district vs sanitation district,0.5,42.2,4,1084019.0,
County of Douglas,NV,Douglas,CITY OF DOUGLAS,governance mismatch (county vs muni),0.33,35.8,2,875000.0,
County of Santa Barbara,CA,Santa Barbara,CITY OF SANTA BARBARA,governance mismatch (county vs muni),0.5,33.6,2,9780000.0,
County of Clark,NV,Clark,CLARK COUNTY PUD; CLARK COUNTY WATER RECLAMATION; CLARK PUBLIC UTILITIES,several agencies share this place name; name overlap only 50%,0.5,32.0,1,22900000.0,
City of Long Beach,WA,Pacific,CITY OF LONG BEACH WATER DIST; LONG BEACH WATER DEPARTMENT,several agencies share this place name; name overlap only 60%,0.6,31.5,2,1744800.0,
County of Clark,WA,Clark,CLARK COUNTY PUD; CLARK COUNTY WATER RECLAMATION; CLARK PUBLIC UTILITIES,several agencies share this place name; name overlap only 50%,0.5,30.9,3,465000.0,
Central Arizona Project,AZ,Maricopa,CENTRAL ARIZONA PROJECT,one side has no governance signal,1.0,29.0,1,19900000.0,
Salt River Project,AZ,Maricopa,SALT RIVER PROJECT,one side has no governance signal,1.0,28.3,3,24165000.0,
County of Sacramento,CA,Sacramento,Sacramento Regional County Sanitation District; CITY OF SACRAMENTO; City of Sacramento; SACRAMENTO MUNICIPAL UTILITY,several agencies share this place name; name overlap only 40%,0.4,25.3,2,636372.0,
Long Beach Utilities,CA,Los Angeles,LONG BEACH WATER DEPARTMENT; CITY OF LONG BEACH WATER DIST,several agencies share this place name; name overlap only 40%,0.4,24.5,3,1743000.0,
San Francisco Water Power Sewer,CA,County of San Francisco,SAN FRANCISCO WATER DEPT; CITY OF SAN FRANCISCO; CITY & COUNTY OF SAN FRANCISCO; SAN FRANCISCO CITY & COUNTY,several agencies share this place name; name overlap only 50%,0.5,24.0,1,6000000.0,
Los Angeles County Department of Public Works,CA,Los Angeles,LOS ANGELES COUNTY SANITATION DISTR; CITY OF LOS ANGELES; CITY OF LOS ANGELES/ WATER & POWER,several agencies share this place name; name overlap only 43%,0.43,24.0,2,1500000.0,
County of Orange,CA,Orange,ORANGE COUNTY SANITATION; ORANGE COUNTY WATER DISTRICT; CITY OF ORANGE,several agencies share this place name; name overlap only 67%,0.67,20.7,1,5826000.0,
Modesto Irrigation District,CA,Stanislaus,CITY OF MODESTO,governance mismatch (special vs muni),0.25,19.0,2,500000.0,
City of San Bernardino,CA,San Bernardino,CITY OF SAN BERNARDINO WATER DEPT.; SAN BERNARDINO MUNICIPAL WATER DEPT,several agencies share this place name; name overlap only 60%,0.6,17.6,1,4300000.0,
City of Phoenix,OR,Jackson,CITY OF PHOENIX,same name matched in 2 states; kept AZ as the larger agency,1.0,16.0,1,10000.0,
County of San Diego,CA,San Diego,SAN DIEGO COUNTY WATER AUTH.; SAN DIEGO COUNTY WATER AUTHORITY; CITY OF SAN DIEGO; CITY OF SAN DIEGO WATER/WASTEWATER,several agencies share this place name; name overlap only 60%,0.6,14.6,1,1300000.0,
Municipal Water District of Orange County,CA,Municipal Water District of Orange,ORANGE COUNTY WATER DISTRICT,'ORANGE COUNTY WATER DISTRICT' matched better to 'Orange County Water District'; these are different agencies,0.8,12.0,1,0.0,
City of Alameda,CA,Alameda,ALAMEDA COUNTY WATER DISTRICT,governance mismatch (muni vs county/special),0.2,9.0,1,0.0,
County of Riverside,CA,Riverside,CITY OF RIVERSIDE,governance mismatch (county vs muni),0.33,9.0,1,0.0,
