crwa_org,outcome,detail
A.F.P. Mutual Water Company,no confident match - own pin,"parsed at Tehachapi, CA 93581"
Aborn Heights Mutual Water Association,no confident match - own pin,"parsed at San Jose, CA 95135"
Aerial Acres Water Company Inc.,no confident match - own pin,"parsed at North Edwards, CA 93523"
Alameda County Fair Association,no confident match - own pin,"parsed at Pleasanton, CA 94566"
Alameda County RCD,no confident match - own pin,"parsed at Livermore, CA 94550"
Albion Mutual Water Company,no confident match - own pin,"parsed at Albion, CA 95410"
Albion River Campground,no confident match - own pin,"parsed at Albion, CA 95410"
ALCO Water Service,no confident match - own pin,"parsed at Salinas, CA 93905"
Alegria Domestic Mutual Water Co.,no confident match - own pin,"parsed at Gaviota, CA 93117"
Alexander Valley Acres Mutual Water Company,no confident match - own pin,"parsed at Healdsburg, CA 95448"
Alleghany County Water District,no confident match - own pin,"parsed at Alleghany, CA 95910"
Allen Road Mutual Water Company,no confident match - own pin,"parsed at Bakersfield, CA 93390"
Allensworth Community Services District,no confident match - own pin,"parsed at Allensworth, CA 93219"
Alliance Redwoods Conference Grounds,no confident match - own pin,"parsed at Occidental, CA 95465"
Almanor Heights Mutual Water Company,no confident match - own pin,"parsed at Chester, CA 96020"
Alpaugh Community Services District,no confident match - own pin,"parsed at Alpaugh, CA 93201"
Alpine Retreat and Camp,no confident match - own pin,"parsed at Twin Peaks, CA 92391"
Alpine Springs County Water District,matched -> Alpine Springs Water District (CA),"place + governance match (80% overlap), 80% overlap"
Alpine Water Company,no confident match - own pin,"parsed at Bishop, CA 93514"
Alpine Water Users Association,no confident match - own pin,"parsed at Twin Peaks, CA 92391"
Alta Sierra Mutual Water Company,no confident match - own pin,"parsed at Wofford Heights, CA 93285"
Amador Water Agency,matched -> Amador Water Agency (CA),"place + governance match (100% overlap), 100% overlap"
Amargosa Opera House Inc.,no confident match - own pin,"parsed at Death Valley, CA 92328"
American Valley Community Services District (3210004),no confident match - own pin,"parsed at Quincy, CA 95971"
Amezcua – Garcia Water,no confident match - own pin,"parsed at THERMAL, CA 92274"
Andersons Springs Community Service District,no confident match - own pin,"parsed at Middletown, CA 95461"
Antelope Valley Resource Conservation District,no confident match - own pin,"parsed at Lancaster, CA 93536"
Anza Mutual Water Company,no confident match - own pin,"parsed at Anza, CA 92539"
Apple Valley Heights CWD,matched -> Apple Valley Heights County Water Dist (CA),"place + governance match (100% overlap), 100% overlap"
Apple Valley View Mutual Water Company,no confident match - own pin,"parsed at Apple Valley, CA 92307"
Aqua “J” Mutual Water Company,no confident match - own pin,"parsed at Lancaster, CA 93535"
Arbuckle Public Utility District,no confident match - own pin,"parsed at Arbuckle, CA 95912"
Armida Winery,no confident match - own pin,"parsed at Healdsburg, CA 95448"
Aromas Water District,no confident match - own pin,"parsed at Aromas, CA 95004"
Arrowbear Park County Water District,matched -> Arrowbear Park County Water District (CA),"place + governance match (100% overlap), 100% overlap"
Arrowhead Villas Mutual Service Company,no confident match - own pin,"parsed at Sky Forest, CA 92385"
Arvin Community Services District,no confident match - own pin,"parsed at Arvin, CA 93203"
Aspendell Mutual Water Company,no confident match - own pin,"parsed at Bishop, CA 93514"
Atascadero Mutual Water Company,no confident match - own pin,"parsed at Atascadero, CA 93423"
Athal Mutual Water System,no confident match - own pin,"parsed at Bakersfield, CA 93387"
Averydale Mutual Water Company,no confident match - own pin,"parsed at Lancaster, CA 93584"
Avila Beach Community Services District,no confident match - own pin,"parsed at Avila Beach, CA 93424"
AZCAL MANAGEMENT CO,no confident match - own pin,"parsed at Lemoore, CA 93245"
Badger Hill Mutual Water Company,no confident match - own pin,"parsed at Exeter, CA 93221"
Bahwell Ditch Company,no confident match - own pin,"parsed at Three Rivers, CA 93271"
Baker Community Service District,no confident match - own pin,"parsed at Baker, CA 92309"
Bakman Water Company,no confident match - own pin,"parsed at Fresno, CA 93747"
Balcom Bixby Water Association,no confident match - own pin,"parsed at Santa Paula, CA 93061"
Banning Heights Mutual Water Company,no confident match - own pin,"parsed at Banning, CA 92220"
Bar 717 Ranch Inc.,no confident match - own pin,"parsed at Hayfork, CA 96041"
Bar-len Mutual Water,no confident match - own pin,"parsed at Barstow, CA 92311"
Bard Resource Conservation District,no confident match - own pin,"parsed at Bard, CA 92222"
Barton Flats Camp Association,no confident match - own pin,"parsed at Angelus Oaks, CA 92305"
Bass Lake Heights Mutual Water Company,no confident match - own pin,"parsed at Oakhurst, CA 93644"
"Bayer Research and Development Services, LLC",no confident match - own pin,"parsed at Woodland, CA 95695"
Bayou Vista Ditch Company,no confident match - own pin,"parsed at Corcoran, CA 93212"
Bear Creek Water Improvement Association,no confident match - own pin,"parsed at Visalia, CA 93292"
Bear Valley Community Services District,matched -> Bear Valley Community Services District (CA),"place + governance match (100% overlap), 100% overlap"
BELLA LAGO MOBILE HOME PARK,no confident match - own pin,"parsed at San Jose, CA 95112"
Belleview Oaks Mutual Water Company,no confident match - own pin,"parsed at Sonora, CA 95370"
Belmont Water Corporation,no confident match - own pin,"parsed at Fresno, CA 93737"
Bennett Ridge Mutual Water Company,no confident match - own pin,"parsed at Santa Rosa, CA 95405"
Big Bear Lake Dept. of Water & Power,no confident match - own pin,"parsed at Big Bear Lake, CA 92315"
Big Creek Community Services District,no confident match - own pin,"parsed at Big Creek, CA 93605"
Big Creek Lumber Company,no confident match - own pin,"parsed at Davenport, CA 95017"
Big Lagoon Park Company,no confident match - own pin,"parsed at Eureka, CA 95502"
Big Meadows Inc.,no confident match - own pin,"parsed at Chester, CA 96020"
Big River Lodge/Stanford Inn,no confident match - own pin,"parsed at Mendocino, CA 95460"
Big Springs Mutual Water Company,no confident match - own pin,"parsed at Old Station, CA 96071"
Biggers Glen Mutual Water Co.,no confident match - own pin,"parsed at Forest Ranch, CA 95942"
Biggs Unified School District,no confident match - own pin,"parsed at Biggs, CA 95917"
Bighorn-Desert View Water Agency,matched -> Bighorn-Desert View Water Agency (CA),"place + governance match (100% overlap), 100% overlap"
Birchim Community Service District,no confident match - own pin,"parsed at Toms Place, CA 93546"
Bishop Creek Water Association,no confident match - own pin,"parsed at Bishop, CA 93515"
Bishop Highlands Mobile Home Park,no confident match - own pin,"parsed at Bishop, CA 93514"
Bishop Paiute Tribe Public Utility Department,no confident match - own pin,"parsed at Bishop, CA 93514"
BLOCK 77 WATER COMPANY,no confident match - own pin,"parsed at Norco, CA 92860"
Blue Lake Springs Mutual Water Company,no confident match - own pin,"parsed at Arnold, CA 95223"
Blue Oak Terrace Mutual Water Co.,no confident match - own pin,"parsed at Paradise, CA 95969"
Bobcat Springs Mutual Water Company,no confident match - own pin,"parsed at Santa Ynez, CA 93460"
"Bodega Water Company, Inc.",no confident match - own pin,"parsed at Bodega, CA 94922"
Bohemian Club,no confident match - own pin,"parsed at Monte Rio, CA 95462"
Boron Community Service District,no confident match - own pin,"parsed at Boron, CA 93596"
Box Springs Mutual Water Company,no confident match - own pin,"parsed at Moreno Valley, CA 92553"
Briceland Community Services District,no confident match - own pin,"parsed at Garberville, CA 95542"
Bridgehaven Water System,no confident match - own pin,"parsed at Sacramento, CA 95818"
Bridgeport Public Utility District,matched -> Bridgeport Public Utility District (CA),"place + governance match (100% overlap), 100% overlap"
Brookside Estates Mutual Water Company,no confident match - own pin,"parsed at Mammoth Lakes, CA 93546"
Brooktrails Township Community Services District,no confident match - own pin,"parsed at Willits, CA 95490"
Brush and Old Well Mutual Water Company,no confident match - own pin,"parsed at Los Gatos, CA 95033"
Buckingham Park Water District,no confident match - own pin,"parsed at Kelseyville, CA 95451"
Bucktail Mutual Water Company,no confident match - own pin,"parsed at Lewiston, CA 96052"
Buena Vista Elementary School,no confident match - own pin,"parsed at Tulare, CA 93274"
Burney Water District,matched -> Burney Water District (CA),"place + governance match (100% overlap), 100% overlap"
Butano Canyon Mutual Water Company,no confident match - own pin,"parsed at Pescadero, CA 94060"
Buttonwillow County Water District,no confident match - own pin,"parsed at Buttonwillow, CA 93206"
BWMR & M Association Mutual Water Company,no confident match - own pin,"parsed at Antioch, CA 94509"
CA State Parks – Channel Coast District,no confident match - own pin,"parsed at Goleta, CA 93117"
Cabazon Water District,no confident match - own pin,"parsed at Cabazon, CA 92230"
Cachagua Mutual Water Company,no confident match - own pin,"parsed at Carmel Valley, CA 93924"
Cachuma Sanitation/Santa Barbara County Parks Dept,no confident match - own pin,"parsed at Santa Barbara, CA 93105"
"Cal Delta Plumbing, Inc.",no confident match - own pin,"parsed at Sacramento, CA 95826"
Calaveras Public Utility District,matched -> Calaveras Public Utility District (CA),"place + governance match (100% overlap), 100% overlap"
California Domestic Water Company,no confident match - own pin,"parsed at Whittier, CA 90603"
"California Drinking Water, LLC",no confident match - own pin,"parsed at Pine Valley, CA 91962"
