owner,state,county,named_account,match_reason,name_overlap,score,n_opps,value_total,match_confidence
Inland Empire Utilities Agency,CA,San Bernardino,INLAND EMPIRE UTILITIES AGENCY,place + governance match (100% overlap),1.0,100.0,119,1395655000.0,confident
City of Las Vegas,NV,Clark,CITY OF LAS VEGAS,place + governance match (100% overlap),1.0,90.0,37,273581958.0,confident
City of Glendale,AZ,Maricopa,GLENDALE CITY OF,place + governance match (100% overlap),1.0,90.0,28,266861000.0,confident
Napa Sanitation District,CA,Napa,NAPA SANITATION DISTRICT,place + governance match (100% overlap),1.0,90.0,28,68021600.0,confident
Eastern Municipal Water District,CA,Riverside,EASTERN MUNICIPAL WATER DISTRICT,place + governance match (100% overlap),1.0,88.0,22,326366455.0,confident
Delta Diablo District,CA,Contra Costa,DELTA DIABLO SANITATION DIST,place + governance match (75% overlap),0.75,88.0,33,69968647.0,confident
County of Pima,AZ,Pima,PIMA UTILITIES,name similarity — one side has no governance signal,0.33,86.0,9,433168833.0,similar name (assumed blocked)
City of Phoenix,AZ,Maricopa,CITY OF PHOENIX,place + governance match (100% overlap),1.0,86.0,29,633376025.0,confident
Central Contra Costa Sanitary District,CA,Contra Costa,CENTRAL CONTRA COSTA SANITARY DIST,place + governance match (100% overlap),1.0,86.0,8,199638000.0,confident
Truckee Meadows Water Authority,NV,Unspecified,TRUCKEE MEADOWS WATER AUTHORITY,place + governance match (100% overlap),1.0,84.0,24,301015000.0,confident
City of Scottsdale,AZ,Maricopa,CITY OF SCOTTSDALE,place + governance match (100% overlap),1.0,84.0,22,461333199.0,confident
City of Surprise,AZ,Maricopa,CITY OF SURPRISE,place + governance match (100% overlap),1.0,84.0,9,33821950.0,confident
San Francisco Public Utilities Commission,CA,County of San Francisco,CITY OF SAN FRANCISCO; CITY & COUNTY OF SAN FRANCISCO; SAN FRANCISCO CITY & COUNTY; SAN FRANCISCO WATER DEPT,name similarity — governance mismatch (special vs muni),0.4,84.0,10,1295230000.0,similar name (assumed blocked)
City of San Diego,CA,San Diego,CITY OF SAN DIEGO,place + governance match (100% overlap),1.0,84.0,9,236265691.0,confident
Santa Clara Valley Water District,CA,Los Angeles,SANTA CLARA VALLEY WATER DISTRICT,place + governance match (100% overlap),1.0,84.0,30,672565193.0,confident
Zone 7 Water Agency,CA,Alameda,ZONE 7 WATER AGENCY,place + governance match (100% overlap),1.0,84.0,14,57000900.0,confident
City of Tempe,AZ,Maricopa,CITY OF TEMPE,place + governance match (100% overlap),1.0,82.0,10,397938317.0,confident
City of Reno,NV,Washoe,CITY OF RENO,place + governance match (100% overlap),1.0,82.0,7,155521073.0,confident
City of Avondale,AZ,Maricopa,CITY OF AVONDALE,place + governance match (100% overlap),1.0,82.0,6,119200000.0,confident
Alameda County Water District,CA,Alameda,ALAMEDA COUNTY WATER DISTRICT,place + governance match (100% overlap),1.0,82.0,21,59786765.0,confident
City of Buckeye,AZ,Maricopa,CITY OF BUCKEYE PUBLIC WORKS,place + governance match (67% overlap),0.67,82.0,9,48098000.0,confident
South Orange County Wastewater Authority,CA,Orange,SOUTH ORANGE COUNTY WASTEWATER AUTH,place + governance match (100% overlap),1.0,82.0,27,17867822.0,confident
City of Sacramento,CA,Sacramento,CITY OF SACRAMENTO,place + governance match (100% overlap),1.0,81.0,7,83756262.0,confident
City of Santa Cruz,CA,Santa Cruz,CITY OF SANTA CRUZ,place + governance match (100% overlap),1.0,80.0,6,160800284.0,confident
City of Peoria,AZ,Maricopa,CITY OF PEORIA,place + governance match (100% overlap),1.0,80.0,8,31452320.0,confident
Coachella Valley Water District,CA,Riverside,COACHELLA VALLEY WATER DISTRICT,place + governance match (100% overlap),1.0,80.0,14,50062761.0,confident
